id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
57132,3cc786ea-5ad2-47a3-8176-c6cb5c467770,"March 10, 2012 13:51",2012-03-10,2012-03-10 13:51:00 UTC,UTC,3462,liesvanrompaey,Lies Van Rompaey,2012-03-11 19:12:05 UTC,2017-12-29 04:07:09 UTC,research,CC-BY,http://www.inaturalist.org/observations/57132,https://inaturalist-open-data.s3.amazonaws.com/photos/89007/medium.jpg,,"",Part of a huge swarm.,4,0,false,,Langue de Barbarie,15.9113185632,-16.5170753002,,,,,,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
271274,2041ca5e-06b4-4cf6-a7ac-65f65412bd1d,2012-07-14,2012-07-14,,Paris,13677,ryudivx,Augustyniak,2013-05-18 16:50:07 UTC,2022-01-18 18:38:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/271274,https://inaturalist-open-data.s3.amazonaws.com/photos/335502/medium.jpg,,"",http://ryudivx.over-blog.com/,2,0,false,,"Saintes Maries de la Mer, Bouches du Rhône, FRANCE",43.459336,4.44839,48,,,,48,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1143519,5af03dd9-eab8-4c72-9067-7845c63d5321,"December 04, 2014 16:06",2014-12-04,2014-12-04 14:06:00 UTC,Africa/Johannesburg,1000,muir,Matt Muir,2014-12-23 12:19:51 UTC,2024-10-28 15:30:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/1143519,https://inaturalist-open-data.s3.amazonaws.com/photos/1438992/medium.JPG,,"","",2,0,false,,Lomami Park,-2.699011,25.143847,20,,,,20,,open,false,,"",Zadellibel,Anax ephippiger,Vagrant Emperor,Insecta,94041
1143520,abe1c868-1499-4ccb-8570-09380afb54fb,"December 04, 2014 16:02",2014-12-04,2014-12-04 14:02:00 UTC,Africa/Johannesburg,1000,muir,Matt Muir,2014-12-23 12:19:53 UTC,2024-10-28 15:30:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/1143520,https://inaturalist-open-data.s3.amazonaws.com/photos/1438993/medium.JPG,,"","",2,0,false,,Lomami Park,-2.699011,25.143847,20,,,,20,,,false,,"",Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1192767,5bc42af7-6d83-4088-a3fe-c489c43e83de,2014-04-27 08:59:51,2014-04-27,2014-04-27 18:59:51 UTC,Hawaii,4749,terathopius,Nigel Voaden,2015-01-25 12:03:30 UTC,2023-12-20 12:57:40 UTC,research,,http://www.inaturalist.org/observations/1192767,https://inaturalist-open-data.s3.amazonaws.com/photos/1507132/medium.jpg,,"",Teneral,1,0,false,,"Katanga Province, Democratic Republic of Congo",-12.774554,28.500251,,,,,,,,false,,"",Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1311527,7f341cb8-798b-44c7-9ce2-24617a3cae5b,2013-02-15 21:33:12,2013-02-15,2013-02-15 17:33:12 UTC,Abu Dhabi,81949,trcarlisle,Tamsin Carlisle,2015-03-22 15:40:58 UTC,2023-07-06 16:02:27 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1311527,https://inaturalist-open-data.s3.amazonaws.com/photos/1646066/medium.jpg,,"Hemianax ephippiger, Hemianax","At rest during early morning, Sharjah Desert Reserve, UAE",1,0,false,,Sharjah Desert Park,25.28354,55.69534,822,,,,822,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1513351,141a8875-da5c-4c9c-8f2f-e2e7635c734a,2014-10-24 16:45:23,2014-10-24,2014-10-24 15:45:23 UTC,Lisbon,97890,rmfelix,"",2015-05-19 21:43:33 UTC,2023-11-22 15:01:22 UTC,research,CC-BY,http://www.inaturalist.org/observations/1513351,https://inaturalist-open-data.s3.amazonaws.com/photos/1874657/medium.jpg,,"odonata, anisoptera, aeshnidae, dragonfly, insects, biodiversity","Anax ephippiger, male in flight",4,0,false,,santarém,39.242113,-8.675014,197,,,,197,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1513354,efc9aff0-084d-4a3e-a42b-9000658bf475,2014-10-24 16:45:48,2014-10-24,2014-10-24 15:45:48 UTC,Lisbon,97890,rmfelix,"",2015-05-19 21:45:23 UTC,2023-11-22 15:01:21 UTC,research,CC-BY,http://www.inaturalist.org/observations/1513354,https://inaturalist-open-data.s3.amazonaws.com/photos/1874660/medium.jpg,,"odonata, anisoptera, aeshnidae, dragonfly, insects, biodiversity",Anax ephippiger. Male in flight.,3,0,false,,santarém,39.242113,-8.675014,197,,,,197,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1780420,16d4fab3-c1d7-43ed-aff7-944fb66016d6,2015-07-18,2015-07-18,,Rome,32921,enricoschifani,Enrico Schifani,2015-07-19 18:54:17 UTC,2024-02-06 15:46:30 UTC,research,,http://www.inaturalist.org/observations/1780420,https://static.inaturalist.org/photos/2154827/medium.JPG,,"","",4,0,false,,Ficuzza,37.87404,13.399887,839,,,,839,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1858438,f3f0f5db-5f3d-4528-8966-9e11f738a391,2015-08-11 10:17:58,2015-08-11,2015-08-11 08:17:58 UTC,Rome,72232,danieleseglie,Daniele Seglie,2015-08-13 14:54:48 UTC,2022-11-30 09:16:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1858438,https://inaturalist-open-data.s3.amazonaws.com/photos/2260524/medium.JPG,,"",Alcuni esemplari,4,0,false,,Risaia 1 Km ad O di c.na La Plata,45.573295,8.304449,11,,,,11,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
1880982,06fa0c0b-ec62-4e25-8bf0-a14de6279d42,2015-08-21 10:01:48,2015-08-21,2015-08-21 08:01:48 UTC,Rome,74864,simonecosta,Simone Costa,2015-08-22 11:35:29 UTC,2024-02-06 15:46:33 UTC,research,,http://www.inaturalist.org/observations/1880982,https://static.inaturalist.org/photos/2292661/medium.jpg,,"","",3,0,false,,altavilla milicia ,37.991428,13.564749,13,,,,13,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2086591,0a79d74e-939b-4ff3-b1f4-8a4a53ee201f,2015-09-24,2015-09-24,,Rome,32921,enricoschifani,Enrico Schifani,2015-10-08 16:19:30 UTC,2017-09-12 19:04:28 UTC,research,,http://www.inaturalist.org/observations/2086591,https://static.inaturalist.org/photos/2496182/medium.JPG,,"","",1,0,false,,"Valencia, ES-VC, ES",39.559277,-0.589828,1640,,,,1640,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2307510,8f0829ec-9ac7-40e3-8c8a-f99f0e65d447,2015-09-07 18:03:18,2015-09-07,2015-09-07 17:03:18 UTC,Lisbon,97890,rmfelix,"",2015-10-24 22:26:07 UTC,2023-11-22 15:01:23 UTC,research,CC-BY,http://www.inaturalist.org/observations/2307510,https://inaturalist-open-data.s3.amazonaws.com/photos/2564567/medium.jpg,,"biodiversity, arthropoda, animalia, insecta, odonata, anisoptera, aeshnidae","Anax ephippiger, in flight tandem.",3,0,false,,santarém,39.236662,-8.686012,9324,,,,9324,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2307516,af414d09-0f30-441f-8447-bb4e94c3e99f,2015-09-07 18:03:18,2015-09-07,2015-09-07 17:03:18 UTC,Lisbon,97890,rmfelix,"",2015-10-24 22:32:38 UTC,2021-10-28 19:47:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/2307516,https://inaturalist-open-data.s3.amazonaws.com/photos/2564581/medium.jpg,,"biodiversity, arthropoda, animalia, insecta, odonata, anisoptera, aeshnidae","Anax ephippiger, tandem oviposition.",4,0,false,,santarém,39.236662,-8.686012,9324,,,,9324,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2377088,f8ed674d-4237-4d9e-b198-3c3195a2bc1d,2015-11-11,2015-11-11,,Rome,32921,enricoschifani,Enrico Schifani,2015-11-13 15:51:38 UTC,2017-09-12 19:04:32 UTC,research,,http://www.inaturalist.org/observations/2377088,https://static.inaturalist.org/photos/2647880/medium.JPG,,"","",3,0,false,,Albufera de Valencia,39.329597,-0.310364,822,,,,822,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2706595,9819f9b9-7f70-4646-9a7e-2392fe0a212d,2011-11-28 20:12:55,2011-11-28,2011-11-28 19:12:55 UTC,Berlin,32124,martingrimm,Martin Grimm,2016-02-22 15:00:35 UTC,2017-09-12 19:04:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2706595,https://inaturalist-open-data.s3.amazonaws.com/photos/3049012/medium.JPG,,"",,2,0,false,,"Haidom, Tanzania",-4.192731,35.026477,16,,,,16,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2722022,aff83475-8816-496f-8cc4-d2e3b254698d,2013-07-31,2013-07-31,,Rome,160927,fausto,Fausto,2016-02-27 22:54:06 UTC,2022-11-30 09:15:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2722022,https://inaturalist-open-data.s3.amazonaws.com/photos/3070984/medium.jpg,,libellule,"",2,0,false,,Riserva Lanca di Gerole,45.020674,10.255651,255,,,,255,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
2852164,6262d329-0b11-411d-b0cb-d0e6eddca5b6,2016-03-25 08:46:15,2016-03-25,2016-03-25 04:46:15 UTC,Abu Dhabi,81949,trcarlisle,Tamsin Carlisle,2016-03-30 16:32:07 UTC,2023-07-08 11:54:16 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2852164,https://inaturalist-open-data.s3.amazonaws.com/photos/3253377/medium.jpg,,"","",1,0,false,,"Jumeirah Beach Residence, Dubai",25.081608,55.140314,,,,,,,,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
3312717,7965d976-0780-4cf6-8e35-f10a6cd758b7,2016-03-05,2016-03-05,,Eastern Time (US & Canada),109148,cholzapfel,"",2016-05-27 06:47:48 UTC,2022-08-19 12:53:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3312717,https://inaturalist-open-data.s3.amazonaws.com/photos/219266865/medium.jpg,,"","",1,0,false,,Midreshet Ben-Gurion,30.8486318,34.7807837,,,,,,,open,false,,"",Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
3979295,71c28e0d-94b8-4910-86f0-65dc18e1f008,2016-08-18 19:22:13,2016-08-18,2016-08-18 18:22:13 UTC,Lisbon,10038,valter,Valter Jacinto,2016-08-28 11:37:39 UTC,2023-11-22 15:06:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3979295,https://static.inaturalist.org/photos/4694815/medium.jpg,,"","<b>Location</b>: Europe &gt; Portugal &gt; Algarve

<b>Date Photo Taken</b>: August 18, 2016",3,0,false,,"Barreiros, Faro, Portugal",37.295994,-7.546834,,,,,,,open,false,,"",Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
4007513,fe0c9583-a86d-46fb-ba67-51bfe60ee8fe,2016-08-30,2016-08-30,,Hawaii,84694,nicolascatassi,nicola scatassi,2016-09-01 08:29:04 UTC,2022-11-30 09:15:47 UTC,research,,http://www.inaturalist.org/observations/4007513,https://static.inaturalist.org/photos/4746295/medium.jpeg,,"","",2,0,false,,San Genuario,45.209134,8.132597,46,,,,46,,open,false,,,Vagrant Emperor,Anax ephippiger,Vagrant Emperor,Insecta,94041
