id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
371102,66f87c17-f996-45b2-8315-864f63735531,2006-01-16,2006-01-16,,Central Time (US & Canada),9706,greglasley,Greg Lasley,2013-08-20 11:50:49 UTC,2016-10-27 11:50:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/371102,https://inaturalist-open-data.s3.amazonaws.com/photos/463967/medium.jpg,,"","Orange Emperor
Anax speratus
female-ovipositing
Blyde River Canyon Reserve
Mpumalanga Province,
South Africa
16 January 2006",3,0,false,,"Blyde River Canyon, Mpumalanga Province, South Africae",-24.591944,30.809167,3946,,,,3946,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
7101368,cb24d9bd-eb21-4678-ad0d-c21da4885e51,2006/11/29 12:57 PM SAST,2006-11-29,2006-11-29 10:57:00 UTC,Africa/Johannesburg,140956,markuslilje,markus lilje,2017-07-18 12:42:25 UTC,2017-07-21 16:42:25 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/7101368,https://inaturalist-open-data.s3.amazonaws.com/photos/9128117/medium.jpg,,"",,1,0,false,,"West Coast DC, South Africa",-32.628744382,19.094569142,2200,,,,2200,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
9876264,b684a35f-3274-47ad-b0c9-15fd1efcd205,2018/02/10 8:48 AM SAST,2018-02-10,2018-02-10 06:48:00 UTC,Africa/Johannesburg,662724,bushboy,Peter Vos,2018-02-16 04:44:49 UTC,2018-02-17 03:34:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9876264,https://inaturalist-open-data.s3.amazonaws.com/photos/13533546/medium.jpeg,,"",<h3>Placid Giant</h3>,2,0,false,,"Nkomba, Pennington, 4184, South Africa",-30.3753373427,30.7010069489,4,,,,4,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
9945833,3b6dbb43-ec46-4b46-9433-b1a661cc4541,2018/01/21 2:50 PM SAST,2018-01-21,2018-01-21 12:50:00 UTC,Africa/Johannesburg,689147,sstanton,sharon stanton,2018-02-21 14:39:00 UTC,2018-03-03 06:56:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9945833,https://inaturalist-open-data.s3.amazonaws.com/photos/13652862/medium.jpg,,"","",3,0,false,,"Vogelgat Private Nature Reserve, South Africa",-34.4004767348,19.3154990673,15,,,,15,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
10052693,94f24825-bd7f-4e44-b2b0-88febd0ad5db,2015/11/21 10:16 PM HST,2015-11-21,2015-11-22 08:16:00 UTC,Hawaii,691032,wolfachim,Wolf-Achim and Hanna Roland,2018-03-02 08:19:51 UTC,2018-03-03 04:46:48 UTC,research,,https://www.inaturalist.org/observations/10052693,https://static.inaturalist.org/photos/13836290/medium.jpg,,"",Presidentrus; Photo and ID by Hanna Roland,3,0,false,,"Nkangala, Südafrika",-25.7451627866,29.2469597134,4272,,,,4272,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
10824418,4a449d2b-87ff-41a9-99ac-068e435daa87,2012-03-19,2012-03-19,,Africa/Johannesburg,6685442,gerhard_diedericks,Gerhard Diedericks,2012-03-27 17:33:42 UTC,2018-04-27 09:15:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10824418,https://inaturalist-open-data.s3.amazonaws.com/photos/15165384/medium.jpg,,"",<h3>Anax speratus - Female - K80A-03</h3><br>Patrolling the river but hanging from a perch when it started raining,2,0,false,,"K80A-03: R102 Lottering: Cape Pines Lottering Plantation, Eastern Cape, South Africa",-33.97258,23.74731,1,,,,1,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
10848848,a57fab16-a166-4773-ae41-8fed33aa552e,2010-11-25,2010-11-25,,Africa/Johannesburg,662724,bushboy,Peter Vos,2013-02-20 06:28:40 UTC,2018-06-05 04:18:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10848848,https://inaturalist-open-data.s3.amazonaws.com/photos/15215029/medium.jpg,,urban,"<h3>Orange Emperor</h3><br>Huge fellow, about 130 mm wingspan",6,0,false,,"Marion Ave, Scottburgh",-30.3012,30.7427,1,,,,1,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
10985854,e714daed-d371-4ccb-a044-fdd67c8fc31e,2014-04-09,2014-04-09,,Africa/Johannesburg,662724,bushboy,Peter Vos,2014-04-10 01:21:37 UTC,2018-07-15 11:53:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10985854,https://inaturalist-open-data.s3.amazonaws.com/photos/15473907/medium.jpg,,urban,"<h3>if it^s green it must be a girl</h3><br>Large, body-length about 80mm, sunning herself = and flaunting her gorgeousness - on a handy Chrys. monilifera (Bush-Tick Berry) bush",3,0,false,,"3 Marion Ave, Scottburgh",-30.29948,30.74273,1,,,,1,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
11078040,3d5bbee8-3aab-4b3b-a3e3-3d895850d834,2014-12-19,2014-12-19,,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2015-04-22 01:55:52 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11078040,https://inaturalist-open-data.s3.amazonaws.com/photos/15638268/medium.jpg,,Cederberg Adventure 2014,<h3>Red Dragon</h3><br>,2,0,false,,Kliphuis Mountain Bike Track,-32.4723438889,19.2297583889,1,,,,1,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
11177135,2497d1ba-31e6-49a6-99f2-1e7b08bf84cc,2015-11-23,2015-11-23,,Africa/Johannesburg,691032,wolfachim,Wolf-Achim and Hanna Roland,2016-01-09 09:54:40 UTC,2018-07-15 11:46:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11177135,https://static.inaturalist.org/photos/15832285/medium.jpg,,female,<h3>Anax - Presidentrus</h3><br>1st photo by Hanna Roland; male and female of this species have different coloration,2,0,false,,Olifants River Lodge,-25.7582,29.3064,1,,,,1,,open,false,,,Orange Emperor,Anax speratus,Orange Emperor,Insecta,94049
